run	index name	bool fields count	document count	base	percentage of true	disk space	thread count	query count per thread	min terms	max terms	duration	queries run	queries with results	total results lower bound	queries per second	percentage of queries that had results	average results per query	average query duration
1	performance02	20	10000000	2	4.8	419625098	1	50	1	5	28	50	7	2099	1785.714	14	41.98	0
2	performance02	20	10000000	2	4.8	419625098	10	50	1	5	27	500	54	60398	18518.519	10.8	120.796	0
3	performance02	20	10000000	2	4.8	419625098	20	50	1	5	35	1000	126	112739	28571.429	12.6	112.739	0
4	performance02	20	10000000	2	4.8	419625098	100	50	1	5	260	5000	595	607075	19230.769	11.9	121.415	4
5	performance02	20	10000000	2	4.8	419625098	500	50	1	5	1205	25000	2759	2605769	20746.888	11.036	104.231	22
6	performance02	20	10000000	2	4.8	419625098	1000	50	1	5	2490	50000	5437	5083253	20080.321	10.874	101.665	46
7	performance02	20	10000000	2	4.8	419625098	1500	50	1	5	3740	75000	8210	7734765	20053.476	10.947	103.13	68
8	performance02	20	10000000	2	4.8	419625098	2000	50	1	5	5056	100000	10888	10421288	19778.481	10.888	104.213	92
9	performance02	20	10000000	2	4.8	419625098	5000	50	1	5	13228	250000	27620	26437712	18899.305	11.048	105.751	238
10	performance02	20	10000000	2	4.8	419625098	500	50	1	1	1662	25000	12659	12323124	15042.118	50.636	492.925	29
11	performance02	20	10000000	2	4.8	419625098	500	50	2	2	1124	25000	756	731332	22241.993	3.024	29.253	20
12	performance02	20	10000000	2	4.8	419625098	500	50	3	3	1240	25000	50	43832	20161.29	0.2	1.753	23
13	performance02	20	10000000	2	4.8	419625098	500	50	4	4	1246	25000	4	4	20064.205	0.016	0	23
14	performance02	20	10000000	2	4.8	419625098	500	50	6	6	1255	25000	0	0	19920.319	0	0	23
15	performance02	20	10000000	2	4.8	419625098	500	50	10	10	1279	25000	0	0	19546.521	0	0	23
16	performance02	20	10000000	2	4.8	419625098	500	50	15	15	1498	25000	0	0	16688.919	0	0	28
17	performance03	60	1000000	1.29	18.45	138038770	1	50	1	5	254	50	46	208523	196.85	92	4170.46	5
18	performance03	60	1000000	1.29	18.45	138038770	10	50	1	5	237	500	461	2065147	2109.705	92.2	4130.294	3
19	performance03	60	1000000	1.29	18.45	138038770	20	50	1	5	362	1000	914	3782134	2762.431	91.4	3782.134	6
