run	index name	bool fields count	document count	base	percentage of true	disk space	query type	thread count	min terms	max terms	duration	queries run	queries with results	total results lower bound	error count	queries per second	percentage of queries that had results	average results per query	average query duration	<1	<2	<5	<10	<20	<50	<100	<200	<500	<1,000	<2,000	<5,000	<10,000	<20,000	>=20,000
1	test01	20	10,000,000	2	9.25	433,555,039	ALL	1	1	5	60,065	11,650	5,032	18,694,255	0	194	43.19	1,604.66	5	26.50	54.02	8.58	3.30	2.04	2.92	1.37	1.26	.01						
2	test01	20	10,000,000	2	9.25	433,555,039	SOME	1	1	5	60,043	784	784	6,845,682	0	13	100.00	8,731.74	77	2.68	13.65	11.99	11.61	9.69	13.90	10.59	11.86	14.03						
3	test01	20	10,000,000	2	9.25	433,555,039	NEGATE_ALL	1	1	5	60,010	168	168	1,680,000	0	3	100.00	10,000.00	357									100.00						
4	test01	20	10,000,000	2	9.25	433,555,039	NEGATE_ALL2	1	1	5	60,009	74	74	740,000	0	1	100.00	10,000.00	811										87.84	12.16				
5	test01	20	10,000,000	2	9.25	433,555,039	ALL	10	1	5	60,117	98,563	42,412	156,938,455	0	1,640	43.03	1,592.27	6	33.98	47.30	7.46	3.58	1.98	2.35	1.48	1.30	.56						
6	test01	20	10,000,000	2	9.25	433,555,039	SOME	10	1	5	60,272	6,373	6,373	55,549,583	0	106	100.00	8,716.40	94	3.70	12.49	9.92	9.81	8.98	12.55	10.58	12.93	18.94	.11					
7	test01	20	10,000,000	2	9.25	433,555,039	NEGATE_ALL	10	1	5	60,319	1,460	1,460	14,600,000	0	24	100.00	10,000.00	412								.34	88.01	11.64					
8	test01	20	10,000,000	2	9.25	433,555,039	NEGATE_ALL2	10	1	5	60,801	645	645	6,450,000	0	11	100.00	10,000.00	938										79.69	20.31				
9	test01	20	10,000,000	2	9.25	433,555,039	ALL	20	1	5	60,143	105,201	45,418	167,678,666	0	1,749	43.17	1,593.89	11	.00	.89	40.64	34.52	14.51	5.92	1.65	1.21	.65						
10	test01	20	10,000,000	2	9.25	433,555,039	SOME	20	1	5	60,210	6,399	6,399	55,761,534	0	106	100.00	8,714.10	188		.03	.02	.03	.44	5.06	23.25	38.12	29.68	3.38					
11	test01	20	10,000,000	2	9.25	433,555,039	NEGATE_ALL	20	1	5	60,799	1,464	1,464	14,640,000	0	24	100.00	10,000.00	825									.61	97.95	1.43				
12	test01	20	10,000,000	2	9.25	433,555,039	NEGATE_ALL2	20	1	5	61,784	668	668	6,680,000	0	11	100.00	10,000.00	1,824										1.50	80.39	18.11			
13	test01	20	10,000,000	2	9.25	433,555,039	ALL	100	1	5	60,147	104,339	45,324	166,709,570	0	1,735	43.44	1,597.77	58	.00	.02	.03	.09	.76	47.68	44.75	5.54	1.13						
